County,2020-21 Full- and Part-Time Administrators,"2020-21 Administrators, Average Annual Salary, Dollars","2020-21 Administrators, Average Years Experience","2020-21 Female Administrators, Percent","2020-21 Minority Administrators, Percent",2020-21 Full- and Part-Time Support Personnel,"2020-21 Support Personnel, Average Annual Salary, Dollars",2020-21 Full- & Part-Time PK-12 Teachers,"2020-21 PK-12 Teachers, Average Annual Salary, Dollars","2020-21 PK-12 Teachers, Average Annual Salary, Rank","2020-21 PK-12 Teachers, Average Years Experience","2020-21 PK-12 Teachers with Less Than 1 Year Experience, Percent","2020-21 PK-12 Teachers with More Than 30 Years Experience, Percent","2020-21 PK-12 Teachers with Advanced Degrees, Percent","2020-21 Female PK-12 Teachers, Percent","2020-21 Minority PK-12 Teachers, Percent",2020-21 Students per PK-12 Teacher,2020-21 Public Schools,2019 Public School CCRPI Score
APPLING,24,97524,27,0.708,0.167,34,67421,251,57708,79,15,0.056,0.056,0.61,0.829,0.06,0,6,72.8
ATKINSON,13,85439,23,0.615,0.231,10,60536,113,55440,115,14,0.062,0.018,0.602,0.788,0.106,0,4,76.8
BACON,15,93916,27,0.6,0.133,19,68948,158,55354,118,16,0.108,0.076,0.614,0.759,0.044,0,4,81.5
BAKER,4,85413,25,0.5,0.5,1,72753,26,50619,156,13,0.04,0.04,0.44,0.72,0.28,0,1,60.4
BALDWIN,25,98296,24,0.68,0.48,28,66571,326,55431,116,13,0.049,0.031,0.632,0.782,0.42,0,6,69.7
BANKS,20,85033,23,0.7,0,14,66747,199,58823,58,15,0.02,0.03,0.683,0.734,0.01,0,4,74.8
BARROW,57,83057,21,0.632,0.088,90,61779,1048,52905,146,13,0.061,0.023,0.632,0.794,0.083,0,16,76.7
BARTOW,65,94857,22,0.615,0.062,117,69795,906,60807,30,15,0.049,0.033,0.605,0.799,0.057,0,19,69.3
BEN HILL,25,82216,24,0.56,0.2,20,65705,222,56746,94,16,0.054,0.108,0.667,0.824,0.149,0,5,64.3
BERRIEN,19,79831,27,0.632,0,32,62582,204,56042,102,16,0.015,0.054,0.657,0.843,0.054,0,5,69.7
BIBB,144,94698,22,0.813,0.66,234,66358,1505,54696,131,12,0.089,0.046,0.576,0.796,0.611,0,35,68.5
BLECKLEY,28,93414,23,0.536,0,17,61453,180,58151,67,16,0.033,0.05,0.722,0.806,0.039,0,5,79.9
BRANTLEY,26,88681,22,0.692,0,30,68302,232,57016,88,15,0.03,0.026,0.642,0.789,0.009,0,7,76.4
BROOKS,23,93206,20,0.565,0.348,25,67499,153,50687,155,9,0.013,0.026,0.412,0.752,0.294,0,6,59.6
BRYAN,57,91990,20,0.649,0.018,64,68326,620,57970,71,13,0.04,0.029,0.616,0.816,0.058,0,10,85.4
BULLOCH,65,79966,22,0.6,0.215,89,66623,697,58176,65,15,0.04,0.052,0.646,0.826,0.159,0,15,73.7
BURKE,33,104881,24,0.606,0.606,35,71696,304,62640,15,15,0.033,0.033,0.674,0.813,0.385,0,5,68.1
BUTTS,25,100639,23,0.64,0.36,28,66255,218,59503,50,14,0.032,0.023,0.583,0.78,0.156,0,5,65.5
CALHOUN,10,72678,25,0.6,0.7,5,50027,38,54371,135,14,0.079,0.053,0.605,0.737,0.789,0.1,3,56.3
CAMDEN,47,99400,26,0.574,0.277,67,71706,617,60599,34,16,0.049,0.065,0.687,0.807,0.143,0,12,86.4
CANDLER,13,86220,22,0.462,0.308,16,56772,142,53711,142,13,0,0.042,0.549,0.775,0.176,0,4,68.8
CARROLL,78,80013,21,0.551,0.167,147,63957,964,57524,81,14,0.03,0.036,0.611,0.768,0.099,0,24,79
CATOOSA,64,95265,25,0.531,0.031,85,67754,815,58637,60,16,0.038,0.08,0.674,0.775,0.027,0,16,79.6
CHARLTON,17,104389,27,0.294,0.118,14,66789,112,59044,56,15,0.054,0.071,0.67,0.786,0.098,0,4,80.2
CHATHAM,206,94731,19,0.743,0.578,359,66314,2641,57005,89,12,0.058,0.025,0.605,0.807,0.408,0,60,71.4
CHATTAHOOCHEE,11,87142,18,0.818,0.636,9,61901,57,54278,136,13,0.07,0.07,0.561,0.667,0.228,0.1,3,75.7
CHATTOOGA,17,94147,22,0.588,0,27,68922,183,57474,82,16,0.033,0.06,0.607,0.776,0.038,0,5,73.6
CHEROKEE,171,99268,22,0.655,0.064,325,72894,2781,64920,7,14,0.034,0.023,0.669,0.809,0.072,0,37,83.4
CLARKE,82,96995,17,0.695,0.561,131,63966,1189,56573,96,11,0.079,0.019,0.672,0.789,0.283,0,21,66
CLAY,6,95946,26,0.667,1,3,52169,18,48828,158,14,0,0.111,0.556,0.778,0.778,0.1,2,67.7
CLAYTON,277,103976,20,0.693,0.913,435,68914,3165,58596,61,12,0.063,0.032,0.625,0.782,0.854,0,66,62.4
CLINCH,10,89807,23,0.7,0,11,64786,95,56723,95,14,0.021,0.011,0.674,0.789,0.074,0,3,71.6
COBB,540,104593,22,0.707,0.333,939,73386,7436,67618,1,14,0.051,0.03,0.662,0.811,0.279,0,110,86.1
COFFEE,46,91847,22,0.674,0.196,73,66472,545,55691,110,13,0.029,0.046,0.605,0.825,0.154,0,12,77
COLQUITT,59,87829,23,0.475,0.169,90,58469,717,51360,154,14,0.049,0.054,0.601,0.784,0.139,0,13,70.6
COLUMBIA,100,101622,20,0.64,0.22,207,73321,1778,63624,10,14,0.024,0.029,0.724,0.823,0.15,0,31,81.2
COOK,21,78223,23,0.5,0.2,25,60914,220,54543,134,15,0.055,0.082,0.55,0.814,0.132,0,4,72.6
COWETA,104,97729,22,0.577,0.356,150,72721,1495,62270,18,15,0.037,0.009,0.683,0.817,0.142,0,29,84.8
CRAWFORD,13,89962,26,0.462,0.462,11,62768,116,56020,103,15,0.026,0.07,0.53,0.73,0.287,0,3,64.4
CRISP,23,95633,22,0.652,0.174,45,68491,250,57961,72,13,0.048,0.028,0.6,0.824,0.208,0,5,69.7
DADE,16,96729,25,0.563,0,26,68546,153,55729,109,14,0.066,0.033,0.609,0.788,0,0,4,78.4
DAWSON,29,109516,24,0.621,0,36,75195,244,65628,5,17,0.016,0.049,0.68,0.77,0.004,0,7,78.2
DECATUR,31,88205,22,0.581,0.419,36,67164,301,56232,101,15,0,0.053,0.615,0.781,0.276,0,6,66
DEKALB,526,102213,23,0.69,0.859,"1,004",72805,7171,63690,9,13,0.029,0.049,0.663,0.774,0.741,0,131,75.4
DODGE,21,84953,23,0.714,0.238,18,68146,215,57375,84,16,0.028,0.056,0.698,0.884,0.107,0,5,68.5
DOOLY,11,97949,22,0.636,0.909,12,63106,74,55037,123,14,0.095,0.054,0.568,0.77,0.662,0.1,4,56.3
DOUGHERTY,97,92058,19,0.619,0.866,137,67641,907,54699,130,13,0,0.041,0.587,0.827,0.832,0,22,65.8
DOUGLAS,176,94974,20,0.705,0.597,250,70117,1718,61416,21,14,0.044,0.022,0.638,0.775,0.423,0,35,75.9
EARLY,16,82016,24,0.688,0.5,14,64055,159,54090,137,16,0,0.044,0.597,0.786,0.352,0,3,63.2
ECHOLS,8,81800,16,0.625,0,7,70766,55,54924,127,15,0,0,0.636,0.818,0.018,0,2,79.1
EFFINGHAM,70,95987,21,0.671,0.143,100,75737,884,61060,26,14,0.034,0.032,0.647,0.853,0.08,0,13,83.8
ELBERT,22,95516,27,0.682,0.136,25,69698,215,57278,86,14,0.084,0.028,0.66,0.823,0.084,0,5,62.6
EMANUEL,31,88397,22,0.645,0.194,31,64780,290,56910,91,15,0.048,0.041,0.655,0.797,0.166,0,6,66.2
